ComInsee,ComLib,EquipementId,EquNbEquIdentique,ActLib
44209,Treillières,73821,1,Judo / Jujitsu / Taïso
44209,Treillières,73821,1,Karaté/Karaté jutsu/Goshin jutsu/Kobudo/Nihon Tai-jutsu/Taijitsu/Nambudo/Ninjutsu/Nunchaku/...
44209,Treillières,73821,1,Boxe française savate
44209,Treillières,73822,1,Basket-Ball
44209,Treillières,73822,1,Sport scolaire
44209,Treillières,73822,1,Handball / Mini hand / Handball de plage
44209,Treillières,73822,1,Volley-ball / Volley-ball de plage (beach-volley) / Green-Volley
44209,Treillières,73822,1,Tennis
44209,Treillières,73822,1,"Badminton, Jeu de volant"
44209,Treillières,73824,1,Autres Danses
44209,Treillières,73824,1,Gymnastique volontaire
44209,Treillières,73824,1,Tennis de table
44209,Treillières,73824,1,Sport scolaire
44209,Treillières,199674,2,Sport scolaire
44209,Treillières,199674,2,Basket-Ball
44209,Treillières,199674,2,"Badminton, Jeu de volant"
44209,Treillières,199674,2,Tennis
44209,Treillières,220087,1,Randonnée pédestre
44209,Treillières,220087,1,Vtt (Cross Country/ Descente/ Trial/ Rallye/ Four Cross) / Vélo trial
44209,Treillières,220087,1,Randonnée équestre
44209,Treillières,220568,1,Dressage
44209,Treillières,220568,1,Randonnée équestre
44209,Treillières,220579,1,Saut d'obstacle
44209,Treillières,220594,1,Course sur le plat
44209,Treillières,290218,1,Vtt (Cross Country/ Descente/ Trial/ Rallye/ Four Cross) / Vélo trial
44209,Treillières,290218,1,Randonnée équestre
44209,Treillières,290218,1,Randonnée pédestre
44209,Treillières,291993,1,Basket-Ball
44209,Treillières,296294,1,Gymnastique Artistique
44209,Treillières,296294,1,Handball / Mini hand / Handball de plage
44209,Treillières,296294,1,"Badminton, Jeu de volant"
44209,Treillières,296294,1,Tennis de table
44209,Treillières,350467,1,Football / Football en salle (Futsal)
44209,Treillières,350468,1,Football / Football en salle (Futsal)
44209,Treillières,364778,1,Pétanque et jeu provencal
44209,Treillières,364779,1,Rugby à 15 / Rugby à 7
44209,Treillières,364780,1,Basket-Ball
44209,Treillières,364780,1,Football / Football en salle (Futsal)
44209,Treillières,364780,1,Handball / Mini hand / Handball de plage
44209,Treillières,364781,1,Planche à roulettes (Skate)
44209,Treillières,364782,1,Tennis de table
44209,Treillières,364782,1,"Badminton, Jeu de volant"
44209,Treillières,364782,1,Tennis
44209,Treillières,364783,1,Saut
44209,Treillières,364783,1,Lancer
44209,Treillières,364783,1,Course sur piste
